,guestToilet,bedrooms,paymentPlan,generator,latitude,description,price,boysQuarter,outdoorKitchen,garden,longitude,parkingSpace,id,waterTank,kitchen,bathrooms,outdoorToilet,furnished,holidayApartment,airConditioning,swimmingPool,locality,masterBedroom,name
13,False,6,yearly,False,,Large family complex apartment with 6 master bedrooms,200000.0,False,False,False,,True,cjaa289vs72jd0103emg6aclt,False,True,6,,False,False,False,False,{'name': 'Brusubi 1st Phase'},True,Brusubi 1st Phase
14,False,3,,False,,"Beautiful family home with 3 bedroom,2 bathrooms and parking space.",2500000.0,False,False,False,,True,cjaa2ocp9777g01958abwnq8a,False,True,2,,False,False,False,False,{'name': 'Kerr Serign'},False,Kerr Serign
15,False,3,,False,,"Stunning villa with 3 bedrooms, 3 bathrooms, beautiful garden and a fully fitted kitchen with European counters and cabinet",6250000.0,False,False,True,,True,cjafej33pcgql0195akq2k6oy,False,True,3,,False,False,False,False,{'name': 'Bijilo'},False,Bijilo
16,False,3,,False,,Beautiful family complex with 3 bedrooms,2600000.0,False,False,False,,True,cjamko1g7ywdx01653b3gkhoy,False,True,2,,False,False,False,False,{'name': 'Bijilo'},False,Bijilo
17,False,3,,False,,Fully furnished semi-detached bungalow with 3 bedrooms including one master bedroom + En-suit. The Property has a building area of 70m2 and a plot size of 230m2 - 260m2.,2218042.0,False,False,True,,True,cjb2goynkeidz01244hvdngdb,False,True,2,,True,False,False,False,{'name': 'Brufut Garden'},True,Brufut Garden
18,False,3,monthly,False,,"Fully furnished holiday apartment with 3 bedrooms, 2 bathrooms, air conditioner and a back up water supply.",40000.0,False,False,False,,True,cjb6ixwf1znw601246qi5mors,False,True,2,,True,True,False,False,{'name': 'Brusubi 1st Phase'},True,Brusubi 1st Phase
19,False,2,monthly,True,,Beautiful holiday apartment with elegant facilities,30000.0,False,False,True,,True,cjc96fksoizi90155fynvo93i,True,True,1,,True,True,False,False,{'name': 'Kotu West'},False,Kotu West
20,False,2,nightly,True,,Fully furnished holiday apartment,2000.0,False,False,True,,True,cjc972cm10uid018341e6jn9n,True,True,1,,True,True,False,False,{'name': 'Bijilo'},False,Bijilo
21,False,7,yearly,False,,"Mega Mansion containing 3 separate fully built houses within one extra large compound. Each detached house contains bedrooms, bathrooms and a kitchen.",500000.0,True,False,True,,True,cjc98glcn1hxs0183voo7cb7i,False,True,5,,False,False,False,False,{'name': 'Bijilo'},True,Bijilo
22,False,3,,False,,Large family house with a built up area of 126(m2),3731960.0,False,False,False,,True,cjc990ehckad40115cppoxnn8,False,True,2,,False,False,False,False,{'name': 'Salagi'},True,Salagi
23,True,5,,True,,"Mega Suite Story Building with an Office, Two Kitchens, a Swimming Pool and a Master Bedroom with A Walk-in Closet",17114973.0,True,True,True,,True,cjcuoqmqr36um01767uq8qzrj,True,True,5,,True,False,False,True,{'name': 'Brufut Garden'},True,Brufut Garden
24,True,5,yearly,True,,"Mega Suite Story Building with an Office, Two Kitchens, a Swimming Pool and a Master Bedroom with A Walk-in Closet",1197462.0,True,True,True,,True,cjcuow7q3399m0124nilzr5og,True,True,5,,True,False,False,True,{'name': 'Brufut Garden'},True,Brufut Garden
25,True,5,yearly,True,,"Elite Master Suite with Volleyball Court and Basketball Lawn, a Swimming Pool and a well-kept Garden.",1676349.0,True,True,True,,True,cjcurlh2u4fcy0124andm4mq7,True,True,4,,True,False,False,True,{'name': 'Bijilo'},True,Bijilo
26,True,5,,True,,"Elite Master Suite with Volleyball Court and Basketball Lawn, a Swimming Pool and a well-kept Garden.",23868465.0,True,True,True,,True,cjcw22skgkxz9012423onk6wk,True,True,4,,True,False,False,True,{'name': 'Bijilo'},True,Bijilo
27,True,7,,False,-16.739497,"Beautiful 7 bedroom family complex with 3 unfinished bedrooms upstairs, a separate staircase at the back and a possibility to make it 2 apartments.",10000000.0,True,False,False,13.409632,True,cjdkfh42dgy9s0188azcffdcv,False,True,4,,False,False,False,False,{'name': 'Bijilo'},True,Bijilo
28,False,1,nightly,False,,"1 bedroom luxury apartment. Located in Kotu Layout near Palma Rima Beach. Close to top notch restaurants, gym and supermarkets.",650.0,False,False,True,,True,cjdn0hs4qm5d70117ps344yiq,False,True,1,,True,True,False,False,{'name': 'Kotu West'},False,Kotu West
29,False,3,,False,,Semi-detached bungalow with 3 bedrooms including one master bedroom + En-suit. The Property has a building area of 70m2 and a plot size of 230m2 - 260m2,1674375.0,False,False,True,,True,cjdom172v650u0185hkg9n1r5,False,True,2,,False,False,False,False,{'name': 'Tanji'},True,Tanji
30,False,1,nightly,False,,"1 bedroom luxury apartment. Located in Kotu Layout near Palma Rima Beach. Close to top notch restaurants, gym and supermarkets.",750.0,False,False,True,,True,cjdre9bhr02lv01391fbmh8av,False,True,1,,True,True,False,False,{'name': 'Kotu West'},False,Kotu West
31,False,2,,False,13.345679,"3 bedroom family complex with a master bedroom, a boys quarter, well, borehole, beautiful garden and a solar panel. The property has a land dimension of 30m X 50m .",3000000.0,True,False,True,-16.727761,True,cjeijccyzqlna0160rg74btb9,True,True,3,,False,False,False,False,{'name': 'Yuna'},True,Yuna
32,False,3,,False,,Beautiful family complex. The story building also features an outdoor garden.,4950000.0,False,False,True,,True,cjeoi9y15zj6j0199f5we2e8c,False,True,3,,False,False,False,False,{'name': 'Paradise Estate'},True,Paradise Estate
33,False,6,monthly,False,,Fully furnished family complex with 6 bedrooms.,30000.0,False,False,False,,True,cjf8x31dy9cw20108x2wr1q2w,False,True,4,,True,True,False,False,{'name': 'Brusubi 1st Phase'},True,Brusubi 1st Phase
34,False,1,nightly,True,,"Fully furnished holiday apartments, The property is 15 minutes walk to Senegambia beach. 24 hour watchman security and CCTV recording.  It provides accommodation with free WiFi, air conditioner ,individual living room and bedrooms ,safety deposit box, a flat-screen TV and a kitchenette. Bestway Supermarket in the same Building offering free grocery delivery.",2500.0,True,False,False,,True,cjfmvdr6183si0193lmrat0wn,True,True,1,,True,True,True,True,{'name': 'Kololi'},True,Kololi
